Soil_Moisture(%),Nitrogen(ppm),Phosphorus(ppm),Potassium(ppm),Light_Density(Lux),Irrigation(Liters),Soil_pH,EC(dS/m),Temperature(°C),Humidity(%)
48,75,26,83,12550,3,7.15,2.16,28.9,58
38,49,20,46,14608,3,6.82,0.84,33.1,60
52,78,21,57,14695,1,6.89,1.62,31.3,51
46,69,25,49,7545,3,6.68,1.38,26.8,60
30,52,17,47,11485,5,6.59,0.86,28.8,53
47,70,24,59,14804,1,6.6,1.57,31.1,56
23,43,32,61,8795,9,6.52,1.24,26.9,66
28,70,21,68,9177,3,6.21,1.68,26.2,60
28,69,29,79,10942,6,6.23,2.02,27.8,62
21,50,37,68,14597,9,6.78,1.6,32.8,58
39,52,22,55,12293,3,6.51,1.11,30.7,52
51,56,22,86,5327,4,7.08,1.78,25.3,67
47,76,32,51,16523,4,6.6,1.68,33.1,62
22,42,33,85,10889,7,6.56,1.7,27.8,69
48,53,29,55,9536,4,6.95,1.26,28.1,61
45,73,35,55,17098,0,6.75,1.76,33.7,61
48,51,22,73,7859,4,6.85,1.43,27.4,65
40,66,24,67,15647,2,6.86,1.64,32.8,58
20,67,21,82,14748,6,7.08,1.89,33.8,61
52,70,30,54,8878,2,6.59,1.59,29.6,59
38,46,16,45,11684,3,6.62,0.69,27.7,63
38,48,29,57,11089,4,6.67,1.2,28.8,59
27,46,24,73,10543,7,6.77,1.38,29.5,58
29,72,25,85,13661,7,6.68,2.12,29.4,51
44,49,21,47,13946,1,6.8,0.88,32.2,55
54,75,33,82,5654,2,6.62,2.27,22.6,72
29,50,38,78,8180,4,6.88,1.81,28.2,60
40,57,36,79,12098,2,6.65,1.93,31.2,59
39,63,30,74,9927,2,7.06,1.83,27.6,59
40,52,26,49,17289,2,7.12,1.07,33.2,51
40,47,21,76,12878,0,7.28,1.4,27.7,58
32,59,22,83,8762,4,6.56,1.78,26.6,63
43,57,38,46,13882,3,6.82,1.34,29.7,58
45,59,32,65,16562,4,6.82,1.62,34.9,50
30,41,17,72,9656,6,6.8,1.13,29.2,60
52,71,29,44,14657,0,6.69,1.4,32.2,52
54,44,17,66,6281,2,6.44,1.07,26.4,69
21,40,16,83,13398,11,6.64,1.3,31.3,58
31,47,21,75,11279,6,6.83,1.38,29.3,57
54,48,18,51,11346,4,7.23,0.88,29.9,55
25,60,27,54,14192,6,6.69,1.34,31.2,52
51,46,24,40,15092,3,6.95,0.75,32.0,48
19,74,22,81,14097,7,6.86,2.02,31.8,51
25,48,21,45,19974,7,6.61,0.82,34.3,59
42,62,17,46,14417,0,6.9,1.03,30.9,53
44,54,36,75,16481,1,6.57,1.8,32.6,49
28,71,21,84,12958,3,7.28,2.0,30.4,61
34,70,22,57,14054,5,6.83,1.49,31.5,64
47,73,23,75,16465,2,6.28,1.91,31.8,60
27,70,28,88,5853,3,6.63,2.2,24.5,63
51,59,27,53,12478,0,6.9,1.3,29.4,50
32,51,26,89,4247,5,6.77,1.81,24.2,62
39,48,26,58,11006,0,6.82,1.17,30.1,63
42,55,35,59,8473,4,6.31,1.49,28.6,69
31,65,18,67,17126,5,6.16,1.51,34.7,47
42,55,33,62,12092,0,6.65,1.51,30.9,61
34,53,22,87,9586,4,6.98,1.74,28.9,59
19,75,20,61,16390,7,6.28,1.62,31.8,58
46,64,22,47,16209,1,6.3,1.19,34.5,46
38,65,24,41,14793,0,7.19,1.13,29.6,54
19,60,33,58,13052,9,6.82,1.53,33.0,63
49,50,17,83,14681,4,6.6,1.51,31.4,56
25,57,19,41,14619,4,6.46,0.88,32.6,55
53,55,27,50,15877,2,6.95,1.17,32.8,49
44,67,38,49,16829,3,7.14,1.59,35.1,61
44,69,32,64,8154,2,6.83,1.8,28.1,70
40,58,23,48,12015,2,6.25,1.11,29.2,57
29,55,37,76,9111,5,6.57,1.85,27.2,59
23,52,19,58,8898,7,6.9,1.11,28.5,61
41,78,26,74,17131,4,6.48,2.04,34.8,45
54,64,33,75,14715,4,6.89,1.93,31.8,45
42,43,26,43,11212,2,6.0,0.79,28.9,61
37,44,36,77,10788,4,6.67,1.64,29.6,60
54,49,24,88,16127,0,6.63,1.72,33.9,63
23,56,30,53,4000,9,6.26,1.3,25.6,68
38,66,30,45,12640,3,6.35,1.34,28.7,52
48,69,21,74,15506,0,7.13,1.78,34.4,55
50,76,31,77,15904,2,6.9,2.16,35.3,50
34,74,17,80,18469,7,6.29,1.91,33.4,47
50,79,15,63,8899,4,6.88,1.64,25.7,63
19,63,32,85,13520,8,6.85,2.08,30.1,59
50,62,32,40,22036,2,6.82,1.2,36.4,53
19,73,39,43,13678,8,6.29,1.6,30.7,47
31,64,34,50,13388,5,6.84,1.47,31.0,63
20,66,15,56,12438,8,7.02,1.26,29.8,68
43,47,20,42,10320,3,6.65,0.73,27.8,61
41,67,25,83,12898,2,6.63,1.99,30.7,61
29,62,33,62,6516,3,7.08,1.64,25.6,61
26,62,20,41,10235,5,6.62,1.0,30.8,56
21,79,39,40,11220,7,6.77,1.66,29.4,60
22,54,16,49,16349,9,6.54,0.92,35.2,53
22,54,29,83,8658,8,7.15,1.81,25.6,53
29,46,31,56,15042,5,6.93,1.19,31.9,54
28,41,37,42,7552,6,6.18,0.94,25.6,63
45,79,25,45,13260,0,6.43,1.49,31.5,55
44,55,30,67,9525,1,6.6,1.55,28.5,60
39,74,34,62,16021,1,6.46,1.89,35.1,55
20,54,28,41,17478,7,6.41,1.0,33.3,53
38,42,23,51,9312,4,6.34,0.86,27.8,66
28,68,15,79,11895,5,6.63,1.74,28.4,70
45,42,21,61,14252,2,6.93,1.01,32.2,50
46,66,28,71,11073,1,6.41,1.8,29.3,54
34,54,33,57,11507,4,6.49,1.4,28.0,56
27,72,39,64,13128,6,6.73,1.99,32.1,56
32,76,24,65,13634,4,6.5,1.8,29.1,60
46,68,35,85,14124,4,6.72,2.23,32.0,52
21,63,16,77,10637,10,6.8,1.62,27.1,63
41,61,36,80,20601,4,6.68,2.02,38.0,46
41,71,19,59,17394,2,6.1,1.49,32.9,51
31,69,31,83,14335,4,6.32,2.14,30.3,52
43,40,15,84,14992,4,6.88,1.3,31.8,48
28,40,20,67,4000,6,6.96,1.07,24.3,73
20,59,16,41,21182,8,6.79,0.86,36.8,50
28,60,23,66,10034,3,5.8,1.49,29.1,58
23,70,35,48,8263,10,6.98,1.57,27.8,62
50,48,19,81,15379,1,6.83,1.47,32.7,66
34,44,38,62,7042,5,6.28,1.4,26.3,54
35,59,29,77,8994,0,7.13,1.8,29.1,49
21,45,33,43,11817,11,6.56,0.96,29.8,54
53,75,23,62,11253,4,6.47,1.7,29.4,64
32,68,32,66,11914,7,7.18,1.81,29.2,54
43,62,21,79,11771,4,6.74,1.74,31.3,57
50,65,21,68,8079,3,6.86,1.59,26.0,65
45,41,34,61,14151,3,7.19,1.24,29.1,52
47,43,21,53,13502,4,6.93,0.88,30.7,61
45,47,34,78,10898,2,6.92,1.68,30.7,66
51,54,29,66,8721,3,6.65,1.49,27.1,66
27,64,16,73,10660,4,6.53,1.57,30.4,55
32,60,32,82,9704,7,6.79,1.97,28.7,63
47,50,22,86,17888,3,6.72,1.66,33.5,56
45,66,21,55,10266,3,6.86,1.36,27.7,64
43,52,21,51,17672,1,6.59,1.01,32.9,56
43,44,19,72,8356,0,7.2,1.22,29.8,63
18,69,15,85,14513,11,6.28,1.87,32.7,56
39,64,15,45,12034,3,6.46,1.01,29.1,60
40,52,22,84,18640,1,6.46,1.66,34.0,51
42,41,31,73,12710,2,6.68,1.41,31.6,53
25,50,35,73,21803,4,6.91,1.66,40.0,43
51,58,20,87,14258,2,6.43,1.8,29.6,62
32,76,20,71,6631,5,6.77,1.83,26.1,65
19,76,18,78,15785,8,7.43,1.93,32.7,61
29,51,36,45,9706,5,6.61,1.17,29.8,56
35,70,23,44,16604,2,6.12,1.26,33.1,58
24,53,31,81,16739,6,6.73,1.8,34.6,57
44,53,16,53,15275,1,6.74,0.98,32.9,60
19,69,38,89,15737,9,6.8,2.39,34.9,49
52,63,38,51,11640,4,6.87,1.55,29.0,60
30,52,39,79,10568,4,6.92,1.89,29.2,58
21,76,18,84,10328,11,6.92,2.04,30.2,61
45,69,33,44,13149,4,6.53,1.43,30.2,61
40,59,15,87,14212,1,6.61,1.72,32.4,57
35,55,17,74,7550,0,6.13,1.43,27.5,59
38,72,31,47,14801,2,6.67,1.51,31.7,58
31,74,37,76,9090,5,7.23,2.21,27.7,62
30,42,18,84,13125,4,6.83,1.4,29.8,53
37,63,35,44,11170,2,6.56,1.36,27.7,67
30,59,30,59,12485,6,6.78,1.47,29.7,48
25,58,32,52,8818,5,6.9,1.36,28.8,66
21,49,25,83,10320,11,6.54,1.64,28.0,59
23,54,30,47,11645,11,6.51,1.15,29.0,51
41,45,22,51,5596,1,6.93,0.9,27.0,67
41,59,15,71,11883,0,6.96,1.41,29.7,45
37,77,32,70,19237,2,6.67,2.06,35.6,46
30,62,23,45,8587,3,6.28,1.13,28.3,62
51,65,30,48,16225,3,6.69,1.38,33.0,57
25,64,39,71,9705,4,6.6,1.97,28.8,62
51,62,30,55,14844,1,6.18,1.45,30.8,56
22,41,16,47,10761,7,6.26,0.63,27.6,60
33,67,36,81,11979,3,6.61,2.16,31.3,62
33,73,22,53,15028,3,6.85,1.47,31.9,55
31,56,19,77,15267,4,6.79,1.55,31.7,60
44,66,33,74,13256,0,7.04,1.95,30.0,51
48,71,38,74,16376,4,6.66,2.14,35.0,58
31,68,31,80,11890,5,6.58,2.06,30.1,57
48,75,29,48,9213,4,6.56,1.55,29.5,60
31,57,34,82,12537,5,6.67,1.95,31.3,49
41,77,29,65,11578,2,7.08,1.91,29.8,59
52,68,30,79,13857,3,6.76,2.02,31.6,56
32,68,17,78,10144,3,6.39,1.76,29.0,68
37,56,26,48,7475,2,6.43,1.13,27.8,59
45,59,30,42,12629,2,7.16,1.15,29.9,62
44,48,25,45,4479,4,6.75,0.9,23.5,64
18,57,30,73,10137,9,6.47,1.7,28.4,56
29,64,25,50,10789,5,6.94,1.3,28.7,62
44,48,34,78,12537,1,6.57,1.7,31.6,58
53,56,24,75,11144,2,6.26,1.6,29.0,61
48,68,28,70,11306,2,6.53,1.81,30.2,63
41,65,16,48,8073,0,6.45,1.11,27.8,61
49,69,27,51,9517,4,6.61,1.45,27.4,63
37,70,27,84,5368,2,7.25,2.1,24.1,69
40,74,19,66,8043,2,6.56,1.68,28.1,61
20,71,15,84,8879,11,6.85,1.89,28.2,53
33,65,24,40,15176,4,6.7,1.11,32.8,66
19,59,16,58,10042,6,7.39,1.19,27.5,66
54,66,26,68,4365,1,6.8,1.7,26.1,70
38,57,29,41,10681,4,7.04,1.07,27.6,67
20,67,27,65,10811,8,6.49,1.68,29.2,55
29,55,26,51,12152,3,6.7,1.17,29.9,59
45,42,32,63,9932,2,6.26,1.26,27.9,52
42,73,31,81,21334,3,6.73,2.18,37.0,47
33,42,17,41,9959,5,6.7,0.56,29.4,52
29,71,15,49,13635,3,6.48,1.22,32.0,62
38,53,37,42,10654,4,6.55,1.17,27.5,57
39,59,31,81,19425,1,7.11,1.91,36.8,51
36,55,21,43,10972,3,6.98,0.92,30.1,58
29,54,39,89,15921,3,6.18,2.12,32.4,57
29,68,29,62,14486,3,6.7,1.68,31.3,54
40,68,34,60,11834,2,6.66,1.74,29.2,67
52,52,25,61,17951,4,6.6,1.28,35.2,57
26,71,18,89,14880,4,6.81,2.04,29.2,61
38,72,25,62,5129,2,6.9,1.68,23.3,81
34,41,38,73,11116,3,6.84,1.55,28.3,63
19,58,33,63,8552,8,6.38,1.59,28.0,60
54,69,27,43,11946,3,6.29,1.3,31.0,52
28,50,17,83,21747,4,6.46,1.51,36.5,49
38,63,31,75,9740,1,6.83,1.87,30.0,49
22,64,24,57,14164,6,6.9,1.41,32.6,46
51,58,30,60,11000,3,6.89,1.47,29.9,61
54,56,38,69,9622,2,6.68,1.76,28.5,62
49,42,35,75,13097,2,6.6,1.55,30.8,70
27,61,30,48,11805,5,6.72,1.3,30.1,51
30,74,28,46,13254,7,6.78,1.47,33.4,42
19,61,24,84,13537,6,6.25,1.87,32.1,59
40,56,26,50,14993,1,6.56,1.17,32.6,49
20,60,21,44,15579,6,6.42,1.03,30.9,58
38,43,18,61,11738,3,6.55,0.98,30.0,54
27,73,26,84,18669,6,6.86,2.14,35.7,55
20,79,24,86,11594,11,6.83,2.25,29.5,54
32,43,39,88,11180,7,6.7,1.89,28.4,64
27,59,23,83,15346,4,6.75,1.8,32.0,55
26,47,23,86,13767,3,6.64,1.62,30.6,59
33,69,29,79,19823,3,6.45,2.02,36.1,55
41,66,28,53,12830,3,6.88,1.45,29.7,52
37,65,27,68,16171,3,6.92,1.7,34.0,55
47,41,34,52,10889,4,6.77,1.07,28.2,57
30,50,19,45,14037,5,6.58,0.82,31.8,53
18,44,38,75,10529,9,6.92,1.64,27.2,56
21,69,37,66,10931,6,6.9,1.93,29.4,56
24,55,19,53,11248,8,6.96,1.07,28.3,66
53,41,22,71,11557,4,6.5,1.2,28.7,62
38,66,25,78,13405,3,6.3,1.87,30.6,60
47,51,27,73,18469,4,6.68,1.53,34.1,53
44,52,30,46,16596,0,6.26,1.09,32.7,52
43,78,19,44,17501,3,6.67,1.34,32.6,60
36,40,26,51,15327,4,6.9,0.88,32.2,46
31,40,24,44,8155,7,6.02,0.71,25.4,55
48,46,33,49,10878,2,6.33,1.09,28.8,65
24,44,21,66,24316,9,7.03,1.15,38.3,36
50,49,28,43,10563,4,6.63,0.94,29.4,53
26,71,19,71,11605,4,6.59,1.72,28.3,59
19,77,34,62,8172,10,6.5,1.95,27.1,61
53,67,21,80,14438,1,6.95,1.85,31.6,53
24,52,35,49,8358,10,6.55,1.24,29.5,57
22,54,21,69,8633,7,6.92,1.4,28.4,60
39,52,18,42,13060,0,6.72,0.79,31.5,57
51,62,23,49,12740,4,6.36,1.2,32.3,51
33,70,35,49,11942,5,6.83,1.59,32.4,59
31,72,26,60,10521,6,6.58,1.66,28.9,52
26,75,28,87,10662,5,7.1,2.27,29.7,60
23,69,17,74,12374,7,7.05,1.7,29.3,62
54,50,23,66,12097,1,6.83,1.3,31.3,55
19,58,28,60,9983,10,6.81,1.43,28.4,56
54,54,17,82,11106,2,6.66,1.57,31.0,54
36,55,39,61,14346,4,6.48,1.6,32.6,59
34,71,33,77,8198,3,6.67,2.1,27.8,62
18,66,29,53,15412,9,6.47,1.47,33.2,55
21,42,32,88,4000,10,7.33,1.74,22.0,67
54,69,30,80,12358,2,6.0,2.06,28.2,61
47,63,27,70,16286,0,6.63,1.7,31.5,63
47,41,32,77,9144,2,6.5,1.51,28.8,58
46,77,23,89,8599,1,6.59,2.25,28.4,58
38,72,20,44,11016,3,6.49,1.24,30.1,59
20,66,16,46,8928,11,6.45,1.09,28.2,60
42,78,33,45,11239,3,7.0,1.62,28.9,51
20,41,37,82,13310,6,6.57,1.7,30.9,66
28,53,26,80,7280,5,7.01,1.68,26.7,68
54,74,18,51,10313,4,6.71,1.38,28.7,58
38,64,38,72,14528,2,6.64,1.97,32.2,58
31,47,20,63,17055,3,6.94,1.13,32.9,55
48,79,20,78,13906,2,6.67,2.02,33.3,45
44,62,20,85,13750,0,7.12,1.83,33.4,43
34,65,35,74,4000,5,6.85,1.97,22.8,79
41,67,25,49,7910,0,6.43,1.34,27.1,60
52,46,39,71,10270,3,7.02,1.62,29.2,64
36,62,35,57,15308,1,7.15,1.59,31.3,54
51,46,15,72,16352,4,6.73,1.19,32.9,55
20,75,27,76,14274,7,6.83,2.04,31.4,53
35,43,30,57,10856,4,7.23,1.13,27.2,64
48,68,24,83,13456,0,6.53,1.99,30.6,56
32,60,32,67,9855,7,6.51,1.68,29.1,56
43,58,25,72,13191,2,6.36,1.6,28.7,62
34,44,18,40,10331,3,6.77,0.6,29.4,71
30,49,27,76,16248,6,6.59,1.55,31.7,63
35,43,17,82,14947,4,6.81,1.36,31.8,49
29,50,36,48,12973,6,6.58,1.2,28.4,66
39,67,26,79,15286,4,7.02,1.93,32.9,54
54,65,28,68,8668,2,7.28,1.72,28.6,58
28,66,25,76,15698,3,6.84,1.83,32.8,49
30,63,36,68,8663,7,7.13,1.83,25.9,66
53,57,34,60,7697,2,6.87,1.53,26.0,61
42,78,15,63,8709,2,6.4,1.62,26.4,66
36,62,19,68,17657,0,6.58,1.49,33.7,57
18,64,27,89,7055,8,7.06,2.08,28.1,66
31,48,38,48,4882,3,6.99,1.2,24.8,65
19,64,23,54,6262,8,6.42,1.34,25.7,63
22,68,36,83,12754,8,6.69,2.21,31.2,64
24,70,25,60,14865,10,7.26,1.6,32.5,57
44,57,35,63,4689,1,6.55,1.6,24.6,67
48,56,34,62,7240,4,6.73,1.55,26.5,55
33,68,26,51,14370,3,6.99,1.41,32.6,52
41,69,37,41,11109,1,6.37,1.45,27.8,63
50,57,22,88,11751,1,7.38,1.83,30.3,55
51,71,17,76,12905,2,6.87,1.78,28.8,54
23,48,32,42,14642,11,6.56,0.98,32.0,60
20,40,23,75,12528,7,7.62,1.28,30.8,55
51,58,20,65,12042,3,6.76,1.38,29.5,68
28,52,34,49,4000,6,7.15,1.22,24.3,61
38,40,20,82,11055,4,7.45,1.36,29.4,73
41,43,28,82,11287,0,7.23,1.57,30.2,60
19,40,34,71,11166,9,6.27,1.41,29.4,60
53,62,39,80,11056,3,6.81,2.1,31.1,58
47,70,34,77,15654,3,6.15,2.1,32.6,47
44,50,15,81,20936,3,6.63,1.43,35.3,60
24,75,20,52,10344,9,7.07,1.45,28.0,62
18,65,39,73,6550,7,7.08,2.02,27.0,58
40,61,25,42,11875,2,6.92,1.09,29.8,50
24,41,20,78,8551,11,7.1,1.3,25.7,62
34,70,31,75,10506,4,7.02,2.0,28.1,64
45,65,34,86,19996,4,7.06,2.18,33.8,47
37,71,38,60,7599,2,6.75,1.87,28.8,56
48,73,25,67,7414,4,6.79,1.8,25.5,56
49,42,31,59,14333,3,6.47,1.17,30.2,56
20,57,17,53,18382,6,6.89,1.07,36.6,44
34,40,37,74,22296,5,6.38,1.53,36.9,48
37,70,22,81,4000,4,7.2,1.95,23.2,70
48,59,16,66,10646,3,6.89,1.34,29.3,62
26,60,20,47,6911,5,6.77,1.07,26.3,62
40,68,18,88,12331,2,6.59,1.97,30.9,58
49,40,18,59,10340,3,6.91,0.88,27.5,57
41,70,17,46,12390,3,6.76,1.19,30.4,60
26,45,38,44,9307,3,7.27,1.07,27.6,64
47,59,18,44,12557,2,6.4,0.96,31.2,56
38,52,25,72,10400,1,6.67,1.49,26.6,54
40,78,35,49,11524,3,6.9,1.74,29.4,57
45,76,18,89,9516,0,7.11,2.14,29.9,62
23,52,20,49,15397,10,6.3,0.96,32.3,52
37,47,35,73,4000,2,6.91,1.6,22.0,68
32,48,28,50,14153,6,6.53,1.05,31.1,54
44,68,34,61,9029,0,6.98,1.76,29.9,51
52,56,21,88,13160,1,6.5,1.8,31.9,61
38,72,27,55,12723,2,6.8,1.59,29.8,64
29,68,35,80,10415,5,6.49,2.14,30.5,61
39,64,17,70,11114,1,6.54,1.53,30.2,49
22,58,16,79,12119,6,7.0,1.57,27.9,58
18,40,30,64,5472,8,6.5,1.2,25.8,55
45,42,16,89,10254,1,6.88,1.45,29.6,68
20,49,39,69,12298,6,6.29,1.64,28.5,57
49,58,22,40,9061,3,6.63,0.94,28.4,60
29,68,35,41,12437,4,6.83,1.4,29.4,63
23,46,29,43,8890,7,6.84,0.9,27.8,64
53,45,18,71,8643,1,7.12,1.2,27.5,56
38,60,36,43,4000,1,6.58,1.3,24.3,70
43,64,33,83,11293,0,6.7,2.08,30.6,60
20,55,15,67,22453,8,6.78,1.26,37.0,53
19,61,39,70,16753,11,6.97,1.89,33.5,56
26,57,25,82,12098,5,6.64,1.78,29.8,56
34,55,20,77,6821,3,6.67,1.55,27.8,64
38,78,17,75,6322,0,6.9,1.89,26.7,62
38,42,24,58,8491,0,6.85,1.01,27.6,65
52,58,34,77,12306,0,6.63,1.87,30.8,54
51,49,36,49,15349,3,7.14,1.2,31.6,58
20,47,25,44,10955,10,7.15,0.86,31.5,56
37,64,15,86,8882,3,7.28,1.8,27.1,69
39,65,28,53,12256,4,7.17,1.43,27.3,61
41,75,16,71,8062,1,6.63,1.74,28.0,52
46,69,38,57,9953,2,6.56,1.78,26.9,69
29,65,17,50,7786,5,6.8,1.17,27.3,62
52,67,22,40,21882,0,6.37,1.11,36.6,47
40,51,25,73,7043,4,6.78,1.49,25.1,58
31,44,28,56,7398,3,6.81,1.09,27.4,56
48,52,38,83,10250,1,7.01,1.95,30.3,59
41,50,18,58,11986,4,6.72,1.05,30.7,63
51,79,25,81,10921,2,5.96,2.18,28.8,63
33,41,25,48,17465,7,7.12,0.82,34.1,53
18,73,24,58,10952,7,7.03,1.6,29.1,57
39,74,30,70,7320,1,6.57,1.97,27.9,64
31,40,38,74,17229,7,7.03,1.55,34.1,52
52,62,31,80,17777,2,6.66,1.95,34.3,45
31,48,34,85,11944,4,6.71,1.83,31.7,56
20,71,16,42,8009,9,6.62,1.11,27.8,57
23,55,32,73,18653,11,7.21,1.7,34.3,55
28,65,24,85,8120,5,6.55,1.97,28.0,57
54,67,37,64,11394,4,6.63,1.85,28.1,51
44,57,16,81,11639,3,7.24,1.59,30.6,58
46,42,34,54,15256,1,6.83,1.13,31.4,65
28,72,24,46,10829,4,6.51,1.36,28.0,55
19,47,37,71,11815,7,6.78,1.6,29.6,51
29,41,15,86,11863,7,6.55,1.36,29.5,56
41,75,22,81,12009,2,6.88,2.04,28.1,62
41,44,16,61,11069,3,6.4,0.96,28.1,63
50,46,34,89,8373,4,6.59,1.87,26.1,59
35,49,37,54,9178,0,6.89,1.32,29.7,69
38,67,28,67,14931,0,6.66,1.74,34.2,51
39,60,19,55,14047,0,7.09,1.2,32.1,58
36,44,26,54,14098,3,6.42,1.01,31.2,57
19,76,23,63,13082,10,6.34,1.74,30.8,56
34,74,18,42,18837,7,6.54,1.2,35.2,53
21,74,16,77,14103,10,6.43,1.83,32.4,55
27,75,22,59,13403,3,6.48,1.62,31.6,56
31,78,36,61,5539,7,7.26,1.99,24.9,59
31,45,17,55,10305,7,6.42,0.88,27.8,67
43,60,29,89,16731,3,6.72,2.04,33.3,65
28,74,27,89,19626,3,6.78,2.27,33.4,49
42,64,33,77,10785,2,6.55,1.97,27.7,79
48,61,39,42,11097,1,6.28,1.36,28.6,58
48,66,33,73,8172,2,7.01,1.93,29.0,61
48,68,34,46,13344,1,6.5,1.47,31.1,59
53,70,21,78,18013,1,6.39,1.87,34.2,52
42,56,18,42,5140,1,6.85,0.86,22.6,65
48,49,20,60,4000,2,6.74,1.11,22.0,71
40,59,25,56,11998,2,6.79,1.32,30.1,49
31,76,30,40,13154,7,6.4,1.43,28.9,58
34,40,33,86,9780,4,6.34,1.68,29.4,61
23,61,39,83,15420,7,7.34,2.14,34.6,59
22,59,37,84,13407,6,6.39,2.08,30.0,57
36,60,30,59,14016,4,6.95,1.49,29.2,60
29,61,37,42,7945,3,6.54,1.32,26.5,61
52,46,33,83,14105,3,6.67,1.74,31.7,61
32,40,21,68,14025,7,6.72,1.11,31.8,50
53,69,26,63,10535,2,6.78,1.66,29.8,67
39,52,22,78,13720,0,6.59,1.55,31.3,51
30,43,17,59,4238,7,6.99,0.92,22.0,69
31,71,39,42,16933,5,6.96,1.55,34.8,48
23,78,21,63,9603,8,6.59,1.74,30.1,58
28,52,20,76,12427,3,6.25,1.47,30.5,51
47,69,32,40,7400,2,6.55,1.34,27.2,70
20,58,18,50,11880,6,6.85,1.05,29.3,65
26,48,35,42,16009,3,6.69,1.03,32.6,45
32,59,18,87,18394,4,6.74,1.78,36.3,60
24,63,33,58,7864,9,7.07,1.59,28.2,58
21,75,30,54,7078,10,6.49,1.68,26.8,60
49,78,18,82,14689,1,5.98,2.04,32.6,62
29,63,28,67,7549,3,6.38,1.66,26.5,59
42,59,33,71,8587,3,7.11,1.76,27.2,61
49,43,20,50,13901,1,6.62,0.8,31.0,58
32,57,38,65,15314,5,7.01,1.7,32.0,56
47,70,15,40,7984,4,7.13,1.03,28.2,63
44,66,29,76,12549,0,6.86,1.91,29.1,57
25,63,28,82,7644,5,6.61,1.95,28.4,66
44,43,26,43,7148,0,6.42,0.79,28.7,52
32,41,28,68,10148,5,6.91,1.26,26.5,67
23,69,31,68,13657,7,6.71,1.85,31.9,54
50,50,15,83,16285,4,7.2,1.47,34.7,56
38,42,24,68,14980,2,6.58,1.2,33.1,56
41,76,31,67,15056,4,6.64,1.97,30.2,59
40,66,18,72,16020,3,6.4,1.62,33.3,58
31,43,37,69,12221,3,6.79,1.49,28.8,61
41,67,17,87,10895,4,6.65,1.91,29.7,63
48,57,19,51,12849,2,7.01,1.07,30.2,52
20,58,28,46,13632,9,6.88,1.17,31.2,47
38,51,25,84,17818,2,6.88,1.7,34.7,45
37,56,34,46,7186,1,7.04,1.24,24.8,64
45,61,25,88,12373,0,6.83,1.97,28.5,57
54,41,33,72,14888,0,6.72,1.43,29.6,60
22,45,20,40,9162,9,6.61,0.65,28.8,53
33,70,22,54,13763,5,6.37,1.43,31.1,60
44,57,38,58,10821,4,7.46,1.57,27.9,54
40,55,38,41,13788,2,6.79,1.2,30.5,50
49,66,20,79,8339,3,6.74,1.8,26.3,59
47,44,22,89,16396,1,6.6,1.6,32.2,56
23,67,37,43,14802,8,6.87,1.45,30.9,60
24,76,17,41,12705,9,6.94,1.2,30.7,61
32,79,28,60,12855,6,6.58,1.83,31.7,49
35,69,28,76,4000,0,6.38,1.95,24.1,64
32,61,23,80,10562,6,6.82,1.78,29.0,61
20,48,39,72,16462,7,7.1,1.68,33.9,54
24,74,19,41,15027,8,6.98,1.2,33.4,48
51,46,26,40,16756,3,7.03,0.79,34.0,54
48,47,28,75,14426,3,6.95,1.51,31.2,57
18,70,17,45,7952,6,6.79,1.17,26.9,63
23,40,36,82,8417,9,6.8,1.66,26.5,58
47,79,30,61,11986,0,6.57,1.89,30.4,62
20,44,25,64,12888,7,6.58,1.19,29.6,61
31,78,25,79,4388,3,6.71,2.12,25.6,62
22,76,34,46,17007,8,6.44,1.62,34.8,46
40,77,31,46,13310,3,6.39,1.59,32.4,56
44,53,28,76,8425,2,6.82,1.64,29.0,57
21,59,38,59,10030,9,6.86,1.62,28.1,53
22,71,15,62,11565,6,6.62,1.47,29.5,68
29,74,34,59,11950,4,6.92,1.83,31.4,55
32,62,35,70,15072,5,6.97,1.83,32.8,54
50,73,21,68,15150,1,6.68,1.74,30.9,61
43,66,34,85,16347,0,6.59,2.18,33.2,55
24,70,30,58,19561,11,6.38,1.66,36.3,58
41,54,16,65,8662,4,6.94,1.22,28.0,58
37,54,39,89,14799,2,6.4,2.12,31.5,53
42,43,34,86,16002,1,6.79,1.76,31.6,51
37,53,37,78,13437,1,6.7,1.85,31.5,56
34,53,30,53,10333,3,6.62,1.24,28.5,66
44,79,17,78,5891,0,6.16,1.97,26.4,56
53,43,15,82,8637,3,6.33,1.32,26.4,62
52,68,19,85,9664,0,7.07,1.93,29.0,64
26,55,16,70,6082,6,6.77,1.34,27.4,54
46,69,25,82,10916,2,6.85,2.0,28.3,61
34,62,32,65,12974,7,6.55,1.68,29.7,60
24,58,24,75,14739,10,6.61,1.64,34.6,55
30,71,30,40,14210,5,6.91,1.34,32.1,50
35,69,26,45,12620,1,5.88,1.32,31.3,58
51,74,27,43,14643,4,6.54,1.4,31.7,56
28,69,17,44,14715,3,6.35,1.13,30.2,59
31,45,33,72,18825,3,6.7,1.51,34.2,50
33,62,39,77,9876,4,7.05,2.04,27.3,67
36,70,28,69,25901,0,7.5,1.83,37.5,46
26,40,24,40,8227,5,6.8,0.63,28.6,58
46,57,36,46,16527,0,6.68,1.3,32.8,55
